time,x,y,z
35722,-2.49089,5.80554,1.32087
35772,-6.02128,3.21658,8.62457
35824,-0.37265,10.55196,15.26781
35873,-1.00028,9.29670,13.36419
35922,4.60913,4.66797,13.36419
35973,3.19697,-0.11768,6.64325
36025,6.09974,0.54917,-0.58274
36073,2.84393,-3.17735,9.01305
36123,6.45278,0.03923,9.90659
36182,11.08151,8.23759,7.10944
36222,1.51022,6.86466,17.05488
36273,-0.72569,8.08068,6.02165
36323,-3.39310,6.70775,2.25326
36373,-3.58923,4.66797,8.58572
36423,-2.56934,8.35527,6.29360
36473,-8.88482,11.92489,13.83038
36523,5.94283,3.17735,27.85503
36573,4.49145,0.11768,3.69069
36625,7.04117,-1.05912,0.00000
36673,8.13952,-3.64807,1.86476
36723,7.39421,-2.98122,9.63465
36773,2.05940,5.57018,12.43181
36823,3.39310,7.80609,12.31526
36874,4.68758,3.64807,15.30667
36923,-1.98094,7.25692,-1.70936
36973,-5.86438,8.39449,12.82030
37023,-0.01961,9.13980,12.27641
37073,-7.78648,6.78620,23.73700
37123,5.19752,13.88622,-1.47626
37184,2.56934,0.98067,23.23195
37225,0.84337,1.25525,-0.27193
37273,4.17763,-1.33370,0.62158
